paper_id,query
id_hep-ph/0503073,find papers about < numerical results indicate and article and cone qcd sum rules approach and pentaquark state >
id_2306.0745,find papers about < 3d mhd modelling code and compare density estimates and model validation and modelled solar wind characteristics need >
id_2210.03362,find papers about < international sunspot number series and scale problem detected around 1849 >
id_2010.14957,find papers about < learned data manifold >
id_1912.11549,find papers about < future dark matter searches >
id_2105.06248,find papers about < cubic curve and unit mass >
id_2201.08258,find papers about < soliton returns and particles gives rise and electrons gives rise and nonlinear thouless pumps >
id_2109.0695,find papers about < neural dialog models and propose two methods including reinforcement learning and hate speech and humans leverage superficial clues and generating unsafe >
id_2205.07302,find papers about < regression imputations may lead >
id_2206.15387,find papers about < federated optimization methods address and trained model reduces >
id_2110.14296,find papers about < system identification and unobserved augmented states and often crucial and stable system identification and classical time delay stability analysis >
id_2107.06586,find papers about < date using computers and concept using coherent thz illumination and various digital image reconstruction solutions demonstrated and illumination light >
id_2305.18828,find papers about < unpublished resources and 63 daily registers available and set designers and que nationale de france >
id_2308.04195,find papers about < extended low conductance feature including and mechanically controllable break junction setup >
id_1810.01017,find papers about < output encoding functionality and cross site scripting >
id_1907.04393,find papers about < real time interaction and contactless driving car interface and original contactless human machine interface >
id_2301.07232,find papers about < proton inelastic scattering and inelastic scatterings >
id_2209.123,find papers about < body coulomb interactions and virtual source size and transverse coulomb deflection >
id_2107.13109,find papers about < implement dgms called pixyz and new python library and deep neural networks and implement various dgms >
id_2104.10249,find papers about < first use simple linear iterative cluster and perform segmentation across and remote sensing technology and often using deep learning models and frequent revisit times >
id_2004.02728,find papers about < solid haze particle production >
id_1703.04802,find papers about < lattice gauge theory and represent renormalized composite operators and constructed supercurrent and lattice numerical simulations >
id_1803.10539,find papers about < two dimensional holographic cft >
id_1901.08007,find papers about < way secret key rate and discuss implications >
id_2012.02924,find papers about < 108 rooms populated >
id_astro-ph/0603823,find papers about < selection effect due and found selecting unobscured agn and improvements needed >
id_2203.15829,find papers about < facial action units and facial action signals simultaneously and spontaneous expressions and physiological activity along and collecting facial expressions >
id_1404.225,find papers about < dynamical competition whose resolution shows and three dimensional double well potential >
id_2002.11641,find papers about < pb island devics exhibit magnetic field >
id_1706.08697,find papers about < two exploratory behaviours and repeatable position adds robustness and gaussian mixture model >
id_2210.11783,find papers about < existing mutation scheduling approaches also failed and show fuzzing improvements and darwin found 20 unique bugs >
id_2007.15441,find papers about < nonlocal dispersals and initial data decaying >
id_2011.0047,find papers about < incentivized towards developing compositional representations and sentence information flows naturally and head attention mechanism >
id_gr-qc/0107037,find papers about < massive complex scalar wave equation and separated radial part and sen black hole >
id_1910.12438,find papers about < scanning electron microscopy study and grown single crystal exhibit layered type structure and structuraland high magnetic field magneto transport propertiesof bi2se3single crystal >
id_cond-mat/0503167,find papers about < plane antiferromagnetic correlations remain spin and plane exchange interaction dominates and magnetic interaction >
id_cmp-lg/9505003,find papers about < efficiently process and compiler performs and phrase structure based systems >
id_1905.04554,find papers about < time contrastive learning and method uniformly partitions and phrase discriminant bn features >
id_1905.03572,find papers about < using small angle neutron scattering >
id_1703.0192,find papers about < low dimensional linear subspaces and recent approach suggests providing general theory >
id_2109.13434,find papers about < achieve lasing via bound states and approximately 11 kw >
id_2306.02349,find papers about < sentiment analysis and contrasting results across and make bgglue publicly available together >
id_2212.05309,find papers about < confidently revealing and guessing random additive noise decoding and short length wiretap codes >
id_2203.16093,find papers about < obtain suboptimal solutions and total system power budget >
id_2106.08091,find papers about < generating thermal faces and generate thermal faces and auxiliary sensor label prediction network and many current works go >
id_2302.01322,find papers about < effective quantum field theory description and piecewise constant matrix >
id_2008.12498,find papers about < different dirichlet spectra and construct two isospectral flat surfaces and main result >
id_1911.10421,find papers about < word noun compound and similarly ranked list and three systems participated and human annotators >
id_1905.0194,find papers about < phase separation and mass action and giant mixed micelles and mixed micelles >
id_1202.1154,find papers about < x and factorial gorenstein fano variety and dimension zero >
id_1705.03934,find papers about < bloom filter and counting bloom filter approach >
id_2008.11426,find papers about < nuisance networks and subject transfer evaluations exhibit >
id_astro-ph/0505576,find papers about < necessary require good spatial resolution and determine whether velocity centroids >
id_1303.1197,find papers about < discovering pulsating red giants and pulsating red giants and develop highly constrained stellar models >
id_astro-ph/0110392,find papers about < billion may and novel gravitational optics investigations might and first luminous sources and monitor roughly >
id_hep-th/0101165,find papers about < super yang and vector multiplet anomalous dimensions become equal >
id_1908.11628,find papers about < first domain >
id_cmp-lg/9805010,find papers about < dependent rules enables and multiple communicative goals and overall text plan representing and complex trees representing integrated messages >
id_2304.0208,find papers about < quality video models without and text data mining approach via automatic speech recognition and image captioning pseudolabels work better and howto100m provides low >
id_1407.444,find papers about < determining protein folding cores theoretically and static rigidity analysis >
id_2104.06557,find papers about < malicious participating entities work towards inserting backdoors and federated learning also remains vulnerable >
id_2211.01651,find papers about < sunspot number time series >
id_1701.06718,find papers about < help improve writing quality and host profile trustworthiness and quality content and model explanation techniques >
id_1805.06269,find papers about < witt vector cohomology and discrete valuation ring and generic fibre >
id_2102.09421,find papers about < different facilities and single pixel characterization performed >
id_2106.03388,find papers about < propose deep interactive networks >
id_2003.00752,find papers about < extremely sparse depth measurements >
id_2107.02409,find papers about < different entities and local decisions concern individual vehicles and beyond networks shall support >
id_2205.14688,find papers about < waiting time distributions and total entropy production rate and reversal symmetry and invoking >
id_2202.05146,find papers about < avoiding previous expensive differential evolution strategies and extremely fast computational binding method would enable key applications >
id_1904.11727,find papers about < dimensional latent variables and rich probabilistic model and observations require complex probabilistic modeling and hybrid model >
id_1902.0701,find papers about < mountain waves resolved and layers generates trapped lee waves propagating horizontally >
id_2107.13936,find papers about < regular representations and improvements beyond graph and image retrieval using machine learning and underlying processes >
id_2101.09293,find papers about < radar odometry algorithm and enable coherent processing and output synthetic aperture radar and vehicular mimo radar and applies coherent sar principles >
id_2001.04851,find papers about < completely describe pairs and recursion operator satisfying natural non and study >
id_2306.07451,find papers about < interplanetary scintillation and work represents and determine heliospheric column densities >
id_2110.147,find papers about < autonomous driving techniques and physically interpretable subsystem >
id_1903.0407,find papers about < challenging orbital stabilization problem and damping assignment passivity and though related >
id_2202.13652,find papers about < simulation results show >
id_1401.273,find papers about < spanish global software development organization and cost estimation >
id_astro-ph/0006284,find papers about < correlation amplitude estimated and redshift range 0 and dominated spectra show much stronger clustering and hubble deep field >
id_2306.0375,find papers about < solution based and mean square error >
id_2307.09329,find papers about < vqa model queries and computer vision experts >
id_1802.07191,find papers about < model selection and machine learning algorithms and neural architecture search and may find applications outside and deep learning >
id_2310.14670,find papers about < identified two dataset biases and consistently improving model performance across different benchmarks >
id_1912.1238,find papers about < training corpus and free text and clinical trials would better support computer and eligibility criteria >
id_2008.08424,find papers about < optimal synthetic data generation and art photorealistic renderer and model training >
id_1912.07202,find papers about < drawn much attention and sufficient conditions proposed and much higher degrees >
id_1402.0379,find papers about < oxygen blueshifted absorption lines and neon column density significantly higher and outflowing photoionized gas >
id_1909.11485,find papers about < certain polynomials associated and depth quantum circuits >
id_2108.07663,find papers about < matched runs method and veritas field and standard veritas data analysis techniques and multiple validation studies >
id_1904.12654,find papers about < simple algorithm solves >
id_1809.07439,find papers about < global attributes immune and time evolving bloch states and averaged current density reveals and conductivity quantum >
id_1107.3348,find papers about < fuse high spatial resolution panchromatic images and many pan sharpening techniques >
id_nucl-th/0512078,find papers about < universal scaling >
id_2304.0478,find papers about < explainable artificial intelligence and systematic reviews >
id_1803.00924,find papers about < isolated paracetamol molecule and paracetamol crystal and centered orbitals electronic structure code fhi >
id_1809.04724,find papers about < effective action and investigate inflationary cosmology and quantum corrections >
id_1711.08348,find papers about < heavy resonance state decaying >
id_1904.01502,find papers about < depth quantum circuit >
id_1810.11032,find papers about < abelian gauge fields and complex grassmann number without and introducing inverse momentum scales and collinear superspace depends >
id_2306.02137,find papers about < modal level and uses two consistency detection subnetworks >
id_2206.12333,find papers about < recent research efforts >
id_hep-th/0312160,find papers about < boundary states and jordan cell structure and boundary theory and coulomb gas picture >
id_2302.11706,find papers about < vanishing normal trace >
id_1702.00123,find papers about < criteria decision analysis and different groups like dangerous chemical waste and health care settings >
id_1909.09755,find papers about < zero value related >
id_1811.11368,find papers about < computationally efficient estimator and using stochastic subgradient >
id_1911.1179,find papers about < iii seesaw and latter assumption implies rather non >
id_2207.13962,find papers about < rising taylor bubble and neither variant generally balances >
id_2303.15614,find papers about < humanitarian agencies must and forecasting possible future movements >
id_2002.03967,find papers about < entropy leads and better sample complexity bounds and better differentiation using and incidentally gives access >
id_1907.11538,find papers about < theoretical apsidal motion constants and first ascent giant branch and apsidal motion constants and close eccentric binary systems and close binary stars >
id_2004.04375,find papers about < completely classical lorentz model type quadratic behavior >
id_2111.00229,find papers about < relaxed constraint >
id_2004.05562,find papers about < moriya et al and distinct correlated flares and nova ejecta may dominate >
id_2106.06615,find papers about < using gaussian priors and results provide valuable guidance and also formally connect >
id_2012.05411,find papers about < factor tuner utilizing gas discharge tube plasma cells and 50 w input power level >
id_2202.04084,find papers about < pick three examples >
id_2203.13278,find papers about < exploiting deep neural networks toward solving image denoising and real image denoising demonstrate and additive white gaussian noise and simple noise assumptions and real images remains unsolved >
id_2212.01122,find papers about < enhanced probability modeling and probability distributions and already encoded image >
id_1608.05868,find papers about < various registration techniques prohibits and way analysis and carotid artery without using >
id_2003.10718,find papers about < size scaling >
id_1810.09212,find papers about < order differential operator and laplace recovery scheme and novel recovery based finite element method and finite difference method >
id_2006.12414,find papers about < based word embeddings using positive pointwise mutual information >
id_cond-mat/0311565,find papers about < current nearly two fold increase and superconducting transition temperature and tetragonal structure and 41 k respectively and four probe resistivity measurements showed >
id_1902.07071,find papers about < effect could potentially >
id_2203.11382,find papers about < closed form and performance via extensive simulation studies and propose preference exploration strategies specifically designed and develop bayesian optimization >
id_2109.02821,find papers about < unit cell constants and superconducting volume fraction and heat capacity results suggest >
id_2309.00650,find papers about < tested components rather and based software engineering >
id_2006.04429,find papers about < study oracle complexity and theoretical justification and gradient based methods and first summarize known instance >
id_2106.13747,find papers about < factors influencing adherence >
id_2201.1222,find papers about < neural networks and based algorithm and usage and unpaired image and probability distributions >
id_2103.13988,find papers about < directly implement iterative solution and theoretic robotic swarm coordination support >
id_1107.0417,find papers about < present paper provides necessary and look like and fixed dimension >
id_1912.04685,find papers about < consider three different thermodynamic costs and thermodynamic complexity and algorithmic information theory >
id_hep-ex/0210067,find papers about < main conclusion and reported measurements >
id_1905.01994,find papers about < existing rnn based generation models and novel review and develope rage >
id_2102.04993,find papers about < exploit specific samples and retaining compression efficiency and original architecture >
id_2109.08728,find papers about < vector calculus >
id_1605.02419,find papers about < zfc >
id_2202.06197,find papers about < web based file clustering could help >
id_1804.00696,find papers about < rln2 per mole spins and frustrated ising magnets host exotic excitations >
id_2210.09559,find papers about < many downstream tasks and quantity discourse trees poses >
id_2009.13335,find papers about < many possible explanatory variables and approach often leads >
id_1809.10904,find papers about < counting points >
id_2208.0352,find papers about < environments whose dynamics and many methods rely and partially observable environment reproduces and functions depend and partially observable environments >
id_2205.15875,find papers about < cpc outperforms strong baselines like dl and organized 2d manifold >
id_1705.03779,find papers about < new probabilistic proof >
id_1911.12544,find papers about < natural language text and best previously published results >
id_1902.07144,find papers about < thus extending and various phononic eigenvalue problems and numerical method employed and eigenvalue forms >
id_1911.00207,find papers about < sufficient connectivity condition and cofactor counterpart and generic 3 >
id_2301.06199,find papers about < using nonparametric machine learning approaches and new tool and incorporate flexible constraints and tractable inference even >
id_2206.14393,find papers about < high leakage current and generate high concentration oxygen vacancies >
id_1811.05155,find papers about < efficient scheduling scheme using genetic algorithms >
id_cs/0601059,find papers about < cooperative entity layer and robot team cooperation and cooperative relationships and constantly changeable task demand and dynamic evolving process quantitatively >
id_2212.14042,find papers about < several stylized inverse problems and continuous evaluation and correctly sampled discrete images contain >
id_2201.05493,find papers about < shannon divergence underlying many contrastive graph embedding models fails and wise losses typically used and graph contrastive learning attracts >
id_2201.05797,find papers about < feature distributions and system called fixy >
id_2005.04816,find papers about < second direction employs monolingual data >
id_1701.08579,find papers about < constructing approximating sequences and problem and dimensional optimal stopping problem and stochastic volatility and dimensional optimal stopping problems >
id_2205.1201,find papers about < existing algorithms devote and training databases and several face recognition benchmarks and sigmoid curves precisely >
id_astro-ph/0504117,find papers about < oh lines and comparable angular resolution and unlike typical ground state oh masers and find brightness temperatures and indeed maser lines >
id_2304.01296,find papers about < accurate gaze and large synthetic data set using physically accurate models >
id_2105.0121,find papers about < interface toward metallic contact >
id_cond-mat/0610084,find papers about < anisotropic exchange renormalized near and type ii tetramers >
id_1304.3396,find papers about < earlier approaches >
id_1907.03135,find papers about < riemannian metrics and enlargeable riemannian length and closed smooth manifolds and closed orientable topological manifolds >
id_2011.0741,find papers about < systems often involve millions and based preconditioners and art customized preconditioners >
id_2105.00875,find papers about < 30 different patient conditions across six different patient scenarios >
id_2002.00248,find papers about < many signal processing algorithms and art relative geometry estimators and scaling factor and maximum likelihood estimator derived >
id_2011.07866,find papers about < sharing additional information across tasks >
id_1808.10811,find papers about < particle density and macroscopically occupied and real line according >
id_1910.12468,find papers about < visual appearance across time and urban scenes and matching two images >
id_2206.03388,find papers about < chemical elements and determine velocities and dynamic gibbs random field and organized emergent patterns >
id_2111.15171,find papers about < gconv first selects useful kernels compatible and paper provides extensive experiments using various standard datasets including cifar and gconv significantly boosts >
id_2103.02654,find papers about < generative adversarial network >
id_2208.14137,find papers about < training set and 2 data instances >
id_1902.00878,find papers about < smart contract based pki and main building blocks and ethereum name service and two systems and smart contract >
id_2112.12349,find papers about < one potential way and driven model explanations and scale chest x and enabling principled model training >
id_2206.09194,find papers about < fundamental kernel selection problem >
id_2112.10646,find papers about < lidar et al >
id_1912.09936,find papers about < outcome confounder affected and direct effect estimands based and parametric statistical model >
id_2309.06043,find papers about < three heavy and vp process >
id_2105.12022,find papers about < potential indices and binary variables analytically >
id_2103.0223,find papers about < atomically thin crystals makes and dimensional semiconducting transition metal dichalcogenides and ionic gate spectroscopy >
id_2203.116,find papers about < road operations and distributed transmission band selection and platoon communications and leader packets reception ratio >
id_1910.09252,find papers about < full decay width and clearly judge whether and invariant mass spectrum >
id_cs/0309054,find papers about < internet security and normal traffic and continued internet growth and vulnerable hosts >
id_2303.09636,find papers about < hs transitions originate >
id_2304.13476,find papers about < study and variation and implementation available >
id_1910.04778,find papers about < images featuring objects and neural cellular images and multiple topological features and user must initialize separate curves >
id_2203.0542,find papers about < considered components affect and test collections and building upon attempts initially made and relevance retrieval method based >
id_2205.14738,find papers about < connected surface possibly and accumulation lemma >
id_1807.06747,find papers about < collective mode frequency and fermi gases and fermi gas and frequency >
id_2311.00978,find papers about < strong nonlinear couplings induced and moving target merely and specified agent and guaranteed collision avoidance >
id_2103.15777,find papers about < inferred trade relationships reconstructed and national network >
id_2111.02018,find papers about < recurrent downsampled attention mechanisms and single feedforward manner and feedforward convolutional neural networks spend roughly and explicitly informs us and mgnet sequentially selects task >
id_2103.00111,find papers about < natural language processing >
id_2105.03092,find papers about < great challenge due and conditional independence tests and day telecommunication network maintenance and hybrid causal graph learning method >
id_2103.12334,find papers about < metric termed age and platform freshness conditions >
id_1609.09384,find papers about < commutative ring and hochschild cohomological dimension and homological invariants and ring >
id_hep-ph/9902403,find papers about < inclusive gluon distribution and features and qcd >
id_2102.03816,find papers about < explicit lower bound >
id_2111.12878,find papers about < method first computes >
id_1810.03787,find papers about < entire parameter regime and protected topological phases >
id_2003.03922,find papers about < smallest purely semiconductor nanolaser thus far and semiconductor miniaturized lasers and future photonic circuits >
id_1905.08468,find papers about < radio astronomical image reconstruction algorithms and spectral sparse analysis regularization terms and art wideband reconstruction algorithm and estimate clean images given limited computing resources >
id_1912.12291,find papers about < algebra allows one and local fields and entanglement present across local hilbert spaces associated and real rectangular matrix whose rows label internal flavours >
id_2301.13816,find papers about < demonstrated considerable potential and functional correctness across different pls and proposed approach compared and synergistically combines pre >
id_1708.07802,find papers about < different observables and different observables would allow and effective field theory >
id_2002.04664,find papers about < widely used optimization method and asymptotic optimal worst and ball method and case analysis and expected complexity >
id_2011.06059,find papers about < may modify and enqueue packets waiting >
id_physics/0109022,find papers about < matrix theory >
id_1703.08814,find papers about < first case pieces and second case pieces and discrete parameters and unitary group and tempered spectrum >
id_cmp-lg/9605016,find papers about < directional abstraction rule allowing and formula abstracted and parsing problem and semidirectional lambek grammar and lambek categorial grammar >
id_2304.14753,find papers about < keeping vector gauge invariance manifestly and gradient flow exact renormalization group and gferg >
id_2103.16442,find papers about < multiple decompositions could and single view and estimating 3d shape and physics constrains decomposition and centre voting task >
id_2011.06883,find papers about < diffracting radiation much smaller >
id_2009.07498,find papers about < 101 without using and proposed dual semantic fusion network achieves >
id_2011.13162,find papers about < product formula and formula code and software projects >
id_2008.01162,find papers about < jaad public dataset and conduct qualitative tests >
id_2105.05102,find papers about < problem often use analytical methods based and forward dynamics >
id_1801.09877,find papers about < planning and misleading trajectories and surrogate and observability gramian and estimation performance may provide irrelevant >
id_2303.14395,find papers about < resnet50 achieves 33 and first vis method and segment occluded instances and occluded objects and positional embeddings >
id_2303.00874,find papers about < novel visual similarity learning paradigm and image similarity yields >
id_2302.02022,find papers about < optical biosensors promise major advances and providing virtually unlimited bona fide sensitivity and realising plasmonic >
id_2012.10002,find papers about < rotational dynamics using and experimental results including periodic quadrupedal gaits and controlled backflip validate >
id_2301.12998,find papers about < radial basis functions and present work also demonstrates >
id_1903.09441,find papers about < 3d structured channel sparsity >
id_1807.04867,find papers about < housekeeper robot and natural human language and robot several commands >
id_1711.03528,find papers about < constrained local hilbert space realized >
id_2006.08265,find papers about < training gans and thereby enabling training deeper models >
id_2106.02811,find papers about < achievable rate maximization problem >
id_2003.1167,find papers about < encourage accurate prediction and boundary prediction and c0 continuity regularization and high resolution images given low resolution masks >
id_2112.02726,find papers about < van der waals attraction and two main categories and layered materials >
id_2110.10144,find papers about < therefore important and checking human annotation gathering and gathers user feedback >
id_2008.115,find papers about < electric field polarization dependent optical constants and topological weyl semimetal and electronic band structure reveals quasi and calculated physical properties >
id_2201.01936,find papers about < predicted masses >
id_2203.08265,find papers about < ordered configuration space and new virtual description and young conjecture and symmetric group action >
id_1712.09823,find papers about < dimensional field theories and revisit conformal quantum mechanics and square deformation and entanglement hamiltonian >
id_2206.12612,find papers about < fuse motion data and dynamic descriptors and consumes dynamic descriptors and sized daily objects and object dynamic descriptors >
id_1410.6208,find papers about < accurately evaluate analytically and type vortex beams and weighing function describing >
id_2103.0548,find papers about < elliptical micropillars gives rise and hall effect causes different spins and different spin polarizations and hermitian physics >
id_1505.05937,find papers about < controllability rank condition and asymptotically controllable and loop system converges and state feedback control law >
id_2102.08374,find papers about < iteration complexity >
id_quant-ph/0409043,find papers about < quantum key distribution protocols based and secure noise tolerance and noise tolerance and resend attack investigated and equiangular spherical codes >
id_2009.07571,find papers about < theoretical results yield quantifiable >
id_2308.02419,find papers about < fluctuations often affect gait speed and evaluate whether indoor localisation and causes motor symptoms including gait dysfunction and home gait speed features >
id_2310.13264,find papers about < mean value and monotone increasing behavior and friedman monotonicity formula and different approach >
id_1909.1377,find papers about < mutually distrustful players and novel public verification protocol >
id_2004.07674,find papers about < 4 and etienne pardoux and book and part iii >
id_1907.13066,find papers about < heat transfer fluid temperature compared and paper shows simulation results indicating and would otherwise >
id_1201.5627,find papers about < matrix product states and periodic boundary conditions and tensor networks >
id_2304.02539,find papers about < weighted loss function and solving complex classification tasks using deep neural networks typically requires large amounts and ground truth model learns >
id_physics/0602057,find papers about < shallow structure and gravity datasets collected >
id_2112.0994,find papers about < generalized gradient approximation method and indirect gap >
id_2305.17436,find papers about < subjective evaluation results show and separately trained phone classifier and synthesized speech and synthesis process towards proper articulation >
id_1812.07956,find papers about < lazy training >
id_1907.11729,find papers about < superconducting resonator endowed >
id_2009.01396,find papers about < bump structure around 2180 mev associated >
id_2011.09105,find papers about < approach combines belief space representation and task success rate and real world grocery packing task and directed grocery packing tasks >
id_1210.518,find papers about < multiple connections and layered social networks consist and layered edges >
id_2010.10151,find papers about < produce predictions coherent and network h >
id_1712.10093,find papers about < neural network generates ground states faster >
id_2308.05113,find papers about < oxide films and simulate steady state oxide films and constant electric field strength due and narrow band gaps and high electric fields >
id_1805.01963,find papers about < modal hashing methods often learn unified and specific hash codes and relatively unexplored problem >
id_2007.12827,find papers about < hardy space and corresponding hardy norm estimates and harmonic quasiregular mapping and obtain bergman norm estimates >
id_2001.02127,find papers about < future failure and image features depend and neck coils used and found long short term memorys >
id_2210.06873,find papers about < synergistic manner online active learning and extensive experimental study using image and novel augmented queues method and numerous machine learning applications data >
id_2110.02093,find papers about < smooth projective surfaces and smooth ample divisor >
id_1306.1334,find papers about < data owner must come and data mining application and domain specific applications and effective approach >
id_2101.01825,find papers about < chemical potential and curved asymptotically ads bulk >
id_2304.06705,find papers about < mixed ensemble and continuous phase transition region and mixed cases >
id_2304.0446,find papers about < waves arising and magnetohydrodynamic waves may provide and dynamic mode decomposition >
id_1708.02538,find papers about < ferromagnetic states and large anomalous hall effect >
id_cs/0405101,find papers about < groundness analysis follows >
id_1806.02707,find papers about < final dual geometry becomes and final dual geometry and first perform bosonic and folded string solution respectively >
id_2202.07367,find papers about < likelihood ratio and given error rates >
id_2306.07989,find papers about < linux malware threat hunting and study aims and windows malware threats >
id_1803.10562,find papers about < transfer face attributes >
id_2108.03039,find papers about < effect heterogeneity across and noise contrastive loss function >
id_2001.04678,find papers about < game theory show >
id_2112.0523,find papers about < vitcap drastically simplifies and remains less investigated and free image captioning model and based image captioning model >
id_1807.06128,find papers about < wavelet adaptive multiresolution >
id_2105.07484,find papers about < rgb input modality and based learning and based visual emotion recognition and broader emotion recognition framework >
id_2001.01737,find papers about < inferred emergence angle and antarctic ice and candidate events and set upper limits >
id_2212.04214,find papers about < granularity unsupervised summarization model and adjacent paper nodes share related scientific terms >
id_2010.07958,find papers about < new matching and adaptive feature bank update scheme >
id_2012.14626,find papers about < wavefront error budget allocation focusing and current adaptive optics architecture >
id_1909.00656,find papers about < nlo term gives relatively small corrections and exactly hermitized without approximation and lo analysis seems justified and hal qcd potential >
id_1909.11809,find papers about < intermittent flow regime >
id_2310.13961,find papers about < proposed method yields higher and tuned lms and multiple lm outputs >
id_2101.02504,find papers about < accelerated variational quantum eigensolver >
id_1703.01224,find papers about < traditional iot networks due >
id_1807.06862,find papers about < fixed number and structural theory and key tool used and unit interval >
id_1911.01851,find papers about < inverse lyndon words and prove interesting combinatorial properties and inverse lyndon factorization >
id_cs/0601055,find papers about < special multi agent environ and hybrid architecture and structural decision making algorithms and new architecture called fais >
id_2110.14538,find papers about < use cooperative multi and factored action spaces and reinforcement learning and learning becomes intractable without resorting >
id_2306.10047,find papers about < global weighted item transition graph using training sequences and distinct groups may possess different negative relationships >
id_1908.03803,find papers about < hot spots posed new challenges related and cloud management system and also keeps fairness among clients and negative effects caused >
id_1104.0053,find papers about < excited polycyclic aromatic molecules and actually viscous media and moderate cw excitation power range and recently drawing attention due and excitation power increases >
id_2106.11749,find papers about < partial power processing >
id_2307.13944,find papers about < shared siamese network and contrast pairwise representations and consistent across views and view similarity scores >
id_1412.5786,find papers about < stability and reducibility argument fails >
id_2201.09157,find papers about < ssgp main compressor and main compressor compared >
id_1807.08083,find papers about < gauge field configuration and magnetic monopole and dual configuration >
id_2012.07577,find papers about < temperature processing without degradation and substrates including flexible and oxide absorbers often degrades metallic back >
id_quant-ph/9911051,find papers about < foregoing research note >
id_2006.14763,find papers about < mathematical finance and obtain concentration inequalities and bayesian type and learning algorithms >
id_1610.06747,find papers about < penalization term must and partial differential equation >
id_1810.02534,find papers about < numerical results show and lower bounds coincide and also provide and new upper >
id_2009.14522,find papers about < small part and algebraic varieties defined >
id_1311.4508,find papers about < degenerate relativistic gas and true physical relative velocity >
id_2209.01571,find papers about < stable nuclei and fit almost equally empirical mass and stable nuclei rather well and clear correlations among interaction >
id_1806.05337,find papers about < achieved impressive predictive performance due and acd enables users >
id_1911.08923,find papers about < positive real coupling constants >
id_2102.02536,find papers about < body sway induced and proposed control model inspired >
id_2012.13366,find papers about < user nodes and security issues >
id_2204.09361,find papers about < lefschetz locus and prove also and strong lefschetz properties and complete intersection standard artinian gorenstein algebra >
id_2111.00392,find papers about < inspired convolutional neural networks and layer feedforward neural networks and results show >
id_2102.03045,find papers about < efficient data structure and proposed constructor needs and hardware resource and current major platforms >
id_2008.00465,find papers about < gravity dual and partition functions and incorporate different generalizations and two factorized copies and wilson loops >
id_1111.3848,find papers about < generalized eulerian type polynomials and construct new generating functions and generating functions and generalized array type polynomials >
id_2201.00832,find papers about < purely virtual particles >
id_1701.08341,find papers about < found using weak boosted classifiers >
id_2104.00775,find papers about < baryon interaction and dependent relativistic hadron field theory >
id_2111.09395,find papers about < common reward functions and help quantitative traders overcome and finrl simulates various markets and high turnover rate >
id_2104.06191,find papers about < pixel accuracy and wronski et al and real image bursts and new state and handling raw >
id_1312.4124,find papers about < symlet 4 wavelet and feature selection procedure and casia3 iris images database >
id_2112.11615,find papers about < normalized specific heat jump >
